episode,episode_length,total_rewards,avg_q,epsilon
32,26,"tf.Tensor(
[-14.   8.   4.  -2.   2.   8. -10. -14. -14.   2. -16.  -8.   2.  -2.
   4. -10.  -2.   2.  -2. -20.  -4.  -4.  -8. -14.  -4.  -4. -14.   4.
  10.   2.  -8. -10. -14.   4.   2. -20.  -2. -10. -20.   4.  -2.   4.
 -14.  -2.  16.   2. -26.  -8.  -2. -20.  -2. -20. -10.  -8.   2. -22.
  -4.  -4.   4.   8. -14.   8.   2.  -2.], shape=(64,), dtype=float32)",0.11629631,0.8524835822623049
33,23,"tf.Tensor(
[-11.  -7.   5.   1.  -5. -17. -11.  -5.   5.  11.  11.  -1.  -1. -11.
 -11. -17.  11.   1.  -7.  -7. -13.  -1.  -1.  -5. -11.  -5.  11.   7.
  -5. -17.  -1. -17. -11.  -7. -19. -11. -13.  -5. -17. -17.  13. -11.
  -7.   7. -17. -13. -19.  -1.  -5.   5.  -5.  -5.  -7.  -7.   1. -13.
  -5.  -7.   1.  -7.   5.  -5.   5. -11.], shape=(64,), dtype=float32)",0.0804641,0.8482423704102537
34,26,"tf.Tensor(
[ -6.   0.  -6. -12. -18.   0.   4. -12.   2.  14.   8.   6.  -6. -14.
  -6.  -2.   0. -26. -12.  -6.   0.   8.   8.  -8.   4. -18.   0.  -6.
  -2.  -8.  20.  -8.  -2. -18.  -6. -14.   0.  10.   4. -14.  -2.   0.
   0.   0. -12. -12.  -4.   0.  12.  -6.  -8.  -8.  12. -12.  -8.  -6.
   6.   6.   4.  -6.   0. -14.   2.  -8.], shape=(64,), dtype=float32)",0.12563182,0.8440222591146804
35,20,"tf.Tensor(
[  8. -20.  -8.   8.   2. -10.  -2. -10.  14. -10.  -4. -14.  -8. -20.
  -4.  -8.  -2.  -2. -14.  -8.  -8. -10.  -4. -14.   4.   8.  -8. -16.
  -8.  -2.   2.  -8.  -8.  -8.  -8.  -8.  -8.   4. -14.  -8.  -2. -10.
 -14.  -4.  -4.  -2.   2. -14.  -4.  -8. -14.  -8.  -2. -14.   4. -14.
   2. -14. -14.   4.  -2. -14. -10.  -2.], shape=(64,), dtype=float32)",0.15603304,0.839823143397692
36,18,"tf.Tensor(
[ -6. -12.   0.  -6. -12.  -6.  -6. -18. -18.  -6.   6. -12.  -6. -12.
  -6.  -6.   0.   6.   6.  12.  -6.  12.  -6. -12.   6.   0.  -6.  -6.
  -6.   0.   0.  -6.   6. -18.  -6.  -6.   6. -18. -18.  -6.  18.  -6.
   6. -12. -12.  -6.   6.   6.   0.  -6.   0. -12.   6. -12.   0.  -6.
   0.  -6.   6. -12.  -6.   0.   0.   0.], shape=(64,), dtype=float32)",0.15340066,0.8356449188036738
37,71,"tf.Tensor(
[-35. -25. -47. -17. -11. -23. -13. -31. -35. -29. -53.   5. -11.   1.
  25. -11. -23.  13. -37.   7. -17. -11.   7. -17. -11.  -7.   7. -17.
 -41. -25. -13. -13. -23. -17. -11.  -1. -13. -31.   1. -13. -17. -17.
   5. -11. -17. -11.  -1. -35.  -5. -23.  -7. -31. -17. -11.  -5. -13.
  -5.  11. -23.  13. -17. -35. -11. -25.], shape=(64,), dtype=float32)",0.14360303,0.8314874813966904
38,51,"tf.Tensor(
[-17. -13. -21. -35.  -3. -21.  -7.   5. -15. -21.  -9. -13. -23. -27.
  -5.   9.   3.  -3. -25.  13.  -5. -21. -21. -15. -21. -21. -15.  -9.
 -15.  -9.  -7.  15. -15.  19. -33.  -7.  11. -21.  -5.  -7. -15.   1.
 -19. -27.   3.  -5. -13. -11.  -5.  -5. -15.  15. -15. -27. -27. -21.
   3. -19. -15. -33. -15. -15. -27. -25.], shape=(64,), dtype=float32)",0.31751156,0.827350727757901
39,41,"tf.Tensor(
[ 15.   3.  -3. -25. -17.   7.  -5.   1. -23.   1.  -3. -17. -33. -17.
  -1. -23. -15. -17. -15.   3. -15.   1.  -9. -17.   1.  -9. -11. -11.
   1.  -3. -17. -15.  -5. -19.  -9. -15.   7. -25.  -9.  -5.  -9. -13.
  -9.   7. -17.  -9.   1. -21. -19.  -7. -15. -13. -11. -17. -27.   5.
 -17. -11.  -9.  -3.  -5. -11.  -3. -27.], shape=(64,), dtype=float32)",0.39839667,0.8232345549829861
40,32,"tf.Tensor(
[-20. -10. -16.   2. -14. -20. -14.  -8.   4. -14.   2. -14.  -8.  -8.
 -22.  -2. -10. -14. -10.  -2. -20.  -2. -16.   4.  -8. -14.  -8.  -8.
 -14.   4. -14.  -8. -14.   2.  -4.  -4.  -8. -10. -14.  -2. -10. -10.
  14. -14. -20.   4.  -2.  -2.  -4.   2.   4.   2.  -2.  -2. -10.   2.
   4.  -2.  -4. -10.  -2.  -8. -16. -10.], shape=(64,), dtype=float32)",0.3308715,0.8191388606795883
41,15,"tf.Tensor(
[  3. -15.  -3.  -3.  -9.  -9.  -3.   3.  -3.  -3.  -9. -15.  -9.   3.
   3.  -9.   9.  -3.  -9.  -9.   9.  -9.  -3.  -3.  -3.   3.  -9. -15.
  -9.  -9.  -9.   3.  -9. -15.   3.  -9.  -9.   9.  -9.  -3.   3.  -3.
   3.   3. -15.  -3.   3.  -3.   3.  -9.  -3.  -3.  -9.  -3.  15.  -3.
 -15.  -9.   3.   3.   9.  -9.  -9.   3.], shape=(64,), dtype=float32)",0.28762093,0.8150635429647646
